task_id,size_mb,cpu_cycles,deadline_ms,data_in_size,data_out_size,divisible,priority,dependencies
0,17.844864378171387,4290812142,1865,17.844864378171387,4.8214269905739435,False,9,[]
1,3.6759530188569145,764850626,560,3.6759530188569145,1.0587725750718942,False,4,[]
2,3.1949351574663445,700296302,756,3.1949351574663445,0.46279869605388285,False,3,[1]
3,2.301598792637071,517052190,754,2.301598792637071,0.6210741945182142,False,3,[0]
4,10.515737045891502,2382027245,1092,10.515737045891502,3.0979583319198967,True,7,[]
5,11.51591548265643,2706330432,1574,11.51591548265643,2.6922461353447797,False,9,[]
6,0.5492740418962772,86346110,407,0.5492740418962772,0.031056265087835943,False,2,[1]
7,0.3516043076170827,66224461,399,0.3516043076170827,0.06784584041318283,False,2,[6]
8,0.6150632222537544,121802912,130,0.6150632222537544,0.05895661017010906,True,1,[]
9,7.542391200291387,1928439534,1923,7.542391200291387,1.8041849227455227,True,9,[2]
10,3.460028906796679,861565830,398,3.460028906796679,0.7046900067653484,False,3,[]
11,0.22295919829782596,38101742,321,0.22295919829782596,0.021064409502124255,False,2,[3]
12,0.6503623397791125,70342812,102,0.6503623397791125,0.09377194911499041,True,4,[]
13,4.183170677744404,999780026,536,4.183170677744404,0.7325425866832562,True,5,[7]
14,0.2395374550549698,47472512,435,0.2395374550549698,0.042891742640936696,True,2,[]
