rsu_id,location_x,location_y,coverage_radius,processing_power,bandwidth,memory,queue_length
0,128.50035323391018,811.204176736003,155.51743452588363,18.80388856324388,29.141270590710366,2606.613552353728,0
1,933.436308079483,501.0398839152592,295.1082631365513,28.35955952068052,60.15748320010431,3667.8615589603346,0
2,539.3774484000626,683.963769398141,207.01394378673172,17.378514856754244,36.96363205898294,1976.1262374971727,0
3,649.7736826427633,48.058924197033726,179.4636230915196,27.071556213469975,81.98038198668425,2097.316861079551,0
4,657.1113285001668,435.67289867789106,193.64636568827586,34.99903948204209,43.99533526961524,3593.9271064340464,0
5,91.79906581344189,94.15698826856011,217.49072084681487,21.76178716883886,74.26532798108454,2644.933827004782,0
6,615.8511643899138,943.8916045607572,206.8911782514494,29.243517935503437,54.73107539391241,3375.1744954354913,0
7,120.16464780564218,341.8796667164016,120.5962958662631,23.37451245241929,16.79530274235003,3337.972390136169,0
8,348.33660445319737,936.6481518557073,154.4603709440599,45.89721639275537,57.39206199933644,3483.903298005364,0
9,340.62456946424004,260.69452823590314,295.7862871231922,43.59155437826282,88.02943840103711,2277.328369760803,0
